"ProcessName","Id","SI"
"AggregatorHost","8244","0"
"AppActions","17596","6"
"atieclxx","22524","6"
"atiesrxx","2668","0"
"backgroundTaskHost","10752","6"
"backgroundTaskHost","25272","6"
"brave","2160","6"
"brave","2760","6"
"brave","3892","6"
"brave","5460","6"
"brave","5576","6"
"brave","5752","6"
"brave","7312","6"
"brave","9572","6"
"brave","9732","6"
"brave","9752","6"
"brave","12476","6"
"brave","13860","6"
"brave","14896","6"
"brave","16652","6"
"brave","16852","6"
"brave","16936","6"
"brave","17128","6"
"brave","22356","6"
"brave","23004","6"
"brave","24936","6"
"brave","25072","6"
"brave","25796","6"
"brave","26516","6"
"brave","26820","6"
"BraveCrashHandler","16868","0"
"BraveCrashHandler64","17092","0"
"Code","5300","6"
"Code","7340","6"
"Code","8300","6"
"Code","8724","6"
"Code","8808","6"
"Code","12320","6"
"Code","13300","6"
"Code","13408","6"
"Code","19188","6"
"Code","21720","6"
"Code","25684","6"
"Code","27548","6"
"conhost","10888","6"
"conhost","15028","6"
"conhost","17672","6"
"conhost","18608","0"
"csrss","1232","0"
"csrss","11380","6"
"ctfmon","27320","6"
"dasHost","5668","0"
"DAX3API","4732","6"
"DAX3API","4892","0"
"DSRHost","12552","6"
"dwm","21684","6"
"esrv","22388","0"
"esrv_svc","7316","0"
"explorer","26068","6"
"FMService64","4992","0"
"FnHotkeyCapsLKNumLK","26816","6"
"FnHotkeyUtility","21508","6"
"fontdrvhost","1704","0"
"fontdrvhost","9504","6"
"gamingservices","7924","0"
"gamingservicesnet","8044","0"
"Idle","0","0"
"IntelSoftwareAssetManagerService","10196","0"
"LenovoUtilityService","4948","0"
"LenovoVantage-(GenericMessagingAddin)","19056","6"
"LenovoVantage-(LenovoGamingSystemAddin)","16700","0"
"LenovoVantage-(LenovoServiceBridgeAddin)","1428","6"
"LenovoVantage-(SmartDisplayAddin)","9860","6"
"LenovoVantage-(VantageCoreAddin)","10572","0"
"LenovoVantageService","4932","0"
"lghub_agent","7452","6"
"lghub_system_tray","27420","6"
"lghub_updater","5056","0"
"Locator","19820","0"
"LockApp","19612","6"
"logi_crashpad_handler","476","0"
"logi_crashpad_handler","10812","6"
"logi_lamparray_service","26044","0"
"LsaIso","1496","0"
"lsass","1504","0"
"Memory Compression","3436","0"
"MessagingPlugin","20340","6"
"MicrosoftStartFeedProvider","14960","6"
"MpDefenderCoreService","5048","0"
"msedgewebview2","8984","6"
"msedgewebview2","9116","6"
"msedgewebview2","10308","6"
"msedgewebview2","23328","6"
"msedgewebview2","26456","6"
"msedgewebview2","26772","6"
"msedgewebview2","26876","6"
"MsMpEng","5068","0"
"MsMpEngCP","17232","0"
"NgcIso","11032","0"
"NisSrv","17108","0"
"Notion","7204","6"
"Notion","8164","6"
"Notion","14640","6"
"Notion","15236","6"
"Notion","20588","6"
"Notion","20744","6"
"Notion","26340","6"
"nvcontainer","4956","0"
"nvcontainer","13796","6"
"nvcontainer","19488","6"
"nvcontainer","20264","6"
"NVDisplay.Container","2940","0"
"NVDisplay.Container","19244","6"
"NVIDIA Overlay","9960","6"
"NVIDIA Overlay","19784","6"
"NVIDIA Overlay","20900","6"
"NVIDIA Overlay","22232","6"
"NVIDIA Overlay","27500","6"
"nvsphelper64","25832","6"
"OfficeClickToRun","5040","0"
"powershell","12260","6"
"powershell","26192","6"
"Registry","280","0"
"RtkAudUService64","4940","0"
"RuntimeBroker","13120","6"
"RuntimeBroker","14356","6"
"RuntimeBroker","17248","6"
"RuntimeBroker","18672","6"
"SearchHost","16112","6"
"SearchIndexer","15424","0"
"Secure System","236","0"
"SecurityHealthService","17800","0"
"SecurityHealthSystray","1648","6"
"services","1452","0"
"ShellExperienceHost","24216","6"
"ShellHost","5352","6"
"sihost","2128","6"
"smss","840","0"
"spoolsv","4500","0"
"StartMenuExperienceHost","19992","6"
"SurSvc","4916","0"
"svchost","1480","0"
"svchost","1628","6"
"svchost","1652","0"
"svchost","1812","0"
"svchost","1880","0"
"svchost","2148","0"
"svchost","2192","0"
"svchost","2204","0"
"svchost","2216","0"
"svchost","2224","0"
"svchost","2336","0"
"svchost","2344","0"
"svchost","2356","0"
"svchost","2372","0"
"svchost","2460","0"
"svchost","2584","0"
"svchost","2592","0"
"svchost","2660","0"
"svchost","2676","0"
"svchost","2892","0"
"svchost","3136","0"
"svchost","3328","0"
"svchost","3336","0"
"svchost","3344","0"
"svchost","3476","0"
"svchost","3512","0"
"svchost","3520","0"
"svchost","3600","0"
"svchost","3620","0"
"svchost","3644","0"
"svchost","3804","0"
"svchost","4068","0"
"svchost","4076","0"
"svchost","4128","0"
"svchost","4336","0"
"svchost","4372","0"
"svchost","4536","0"
"svchost","4580","0"
"svchost","4664","0"
"svchost","4840","0"
"svchost","4868","0"
"svchost","4876","0"
"svchost","4884","0"
"svchost","4908","0"
"svchost","4924","0"
"svchost","5000","0"
"svchost","5008","0"
"svchost","5016","0"
"svchost","5024","0"
"svchost","5032","0"
"svchost","5132","0"
"svchost","5272","6"
"svchost","5888","0"
"svchost","6012","0"
"svchost","7372","0"
"svchost","7476","0"
"svchost","8600","0"
"svchost","8688","0"
"svchost","8772","0"
"svchost","8828","0"
"svchost","9040","0"
"svchost","9292","0"
"svchost","9320","0"
"svchost","9528","0"
"svchost","9592","0"
"svchost","9804","0"
"svchost","10124","0"
"svchost","10612","0"
"svchost","10680","0"
"svchost","10980","0"
"svchost","11268","0"
"svchost","11688","0"
"svchost","11844","0"
"svchost","13552","0"
"svchost","16580","0"
"svchost","16680","6"
"svchost","16828","0"
"svchost","17820","0"
"svchost","17968","0"
"svchost","18048","0"
"svchost","19408","0"
"svchost","19580","6"
"svchost","21676","0"
"svchost","25496","6"
"svchost","25740","6"
"svchost","26084","6"
"System","4","0"
"taskhostw","19432","6"
"TextInputHost","22488","6"
"UDClientService","4984","0"
"unsecapp","3012","6"
"unsecapp","6028","6"
"unsecapp","12180","0"
"WidgetBoard","21072","6"
"WidgetService","20820","6"
"wininit","1328","0"
"winlogon","25352","6"
"wlanext","4824","0"
"WmiApSrv","19064","0"
"WmiPrvSE","6604","0"
"WmiPrvSE","6612","0"
"WUDFHost","1892","0"
"WUDFHost","1956","0"
"WUDFHost","2672","0"
